"Country" "Continent" "LE" "CigCon"
"1" "Afghanistan" "Asia" 35.5 98
"2" "Albania" "Europe" 61.4 NA
"3" "Algeria" "Africa" 60.6 1021
"4" "Andorra" "Europe" 72.2 NA
"5" "Angola" "Africa" 33.4 571
"6" "Antigua and Barbuda" "South America" 61.9 NA
"7" "Argentina" "South America" 65.3 1495
"8" "Armenia" "Europe" 61 1095
"9" "Australia" "Australia" 72.6 1907
"10" "Austria" "Europe" 71.4 2073
"11" "Azerbaijan" "Europe" 57.2 1150
"12" "Bahamas, The" "North America" 63.3 613
"13" "Bahrain" "Asia" 64.3 2179
"14" "Bangladesh" "Asia" 54.3 245
"15" "Barbados" "North America" 65.6 542
"16" "Belarus" "Europe" 60.7 2571
"17" "Belgium" "Europe" 71.1 2428
"18" "Belize" "South America" 60.3 1092
"19" "Benin" "Africa" 44 NA
"20" "Bhutan" "Africa" 52.9 NA
"21" "Bolivia" "South America" 54.4 274
"22" "Bosnia and Herzegovina" "Europe" 64.3 NA
"23" "Botswana" "Africa" 35.7 NA
"24" "Brazil" "South America" 59.8 858
"25" "Bulgaria" "Europe" 64.6 2574
"26" "Burkina Faso" "Africa" 35.6 NA
"27" "Burma" "Asia" 51.7 NA
"28" "Burundi" "Africa" 35.1 86
"29" "Cambodia" "Asia" 47.5 NA
"30" "Cameroon" "Africa" 41.5 652
"31" "Canada" "North America" 72 1976
"32" "Cape Verde" "Africa" 60.8 NA
"33" "Central African Republic" "Africa" 37.4 NA
"34" "Chad" "Africa" 40.7 160
"35" "Chile" "South America" 67.3 1202
"36" "China" "Asia" 64.1 1791
"37" "Colombia" "South America" 62 521
"38" "Comoros" "Africa" 54.6 NA
"39" "Congo, Democratic Republic of the" "Africa" 37.1 476
"40" "Cook Islands" "Australia" 61.6 NA
"41" "Costa Rica" "South America" 67.2 NA
"42" "Cote d'Ivoire" "Africa" 39.5 NA
"43" "Croatia" "Europe" 66.6 1995
"44" "Cuba" "North America" 68.3 1343
"45" "Cyprus" "Europe" 67.6 NA
"46" "Czech Republic" "Europe" 68.4 NA
"47" "Denmark" "Europe" 69.8 1919
"48" "Djibouti" "Africa" 42.9 NA
"49" "Dominica" "North America" 63.7 NA
"50" "Dominican Republic" "North America" 59.6 NA
"51" "Ecuador" "South America" 61.9 232
"52" "Egypt" "Asia" 59 1275
"53" "El Salvador" "South America" 59.7 NA
"54" "Equatorial Guinea" "Africa" 45.5 NA
"55" "Eritrea" "Africa" 50 NA
"56" "Estonia" "Europe" 64.1 1983
"57" "Fiji" "Australia" 58.8 976
"58" "Finland" "Europe" 71.1 1351
"59" "France" "Europe" 72 2058
"60" "Gabon" "Africa" 51.4 487
"61" "Gambia, The" "Africa" 49.5 171
"62" "Georgia" "Europe" 64.4 NA
"63" "Germany" "Europe" 71.8 1702
"64" "Ghana" "Africa" 49.8 161
"65" "Greece" "Europe" 71 4313
"66" "Grenada" "South America" 59.2 NA
"67" "Guatemala" "South America" 57.4 609
"68" "Guinea" "Africa" 44.8 NA
"69" "Guinea-Bissau" "Africa" 40.5 90
"70" "Guyana" "South America" 55.2 590
"71" "Haiti" "North America" 43.8 NA
"72" "Honduras" "South America" 58.4 595
"73" "Hungary" "Europe" 64.9 3265
"74" "Iceland" "Europe" 72.8 1915
"75" "India" "Asia" 53.5 129
"76" "Indonesia" "Asia" 58.1 1742
"77" "Iran" "Asia" 57.6 NA
"78" "Iraq" "Asia" 50.1 1430
"79" "Ireland" "Europe" 69.8 2236
"80" "Israel" "Asia" 71.4 2162
