"Country" "Continent" "LE" "CigCon" "LE.q" "Cont" "Cont2" "HealthExpPC" "Year" "HE" "LogHE" "HE5"
"Afghanistan" "Afghanistan" "Asia" 35.5 98 "(28.6,40.2]" "Asia" "Asia" 13.5 2004 "[0.3,31.1]" 2.60268968544438 "[0.3,24.2]"
"Albania" "Albania" "Europe" 61.4 NA "(51.8,63.4]" "Eurp" "Europe" 157.1 2004 "(152,476]" 5.05688254526158 "(81.2,212]"
"Algeria" "Algeria" "Africa" 60.6 1021 "(51.8,63.4]" "Afrc" "Africa" 93.9 2004 "(31.1,152]" 4.54223038621422 "(81.2,212]"
"Andorra" "Andorra" "Europe" 72.2 NA "(63.4,75]" "Eurp" "Europe" 2453.1 2004 "(476,6.1e+03]" 7.80510780983604 "(695,6.1e+03]"
"Angola" "Angola" "Africa" 33.4 571 "(28.6,40.2]" "Afrc" "Africa" 25.5 2004 "[0.3,31.1]" 3.23867845216438 "(24.2,81.2]"
"Antigua and Barbuda" "Antigua and Barbuda" "South America" 61.9 NA "(51.8,63.4]" "SthA" "S.America" 485.3 2004 "(476,6.1e+03]" 6.18476725641117 "(212,695]"
"Argentina" "Argentina" "South America" 65.3 1495 "(63.4,75]" "SthA" "S.America" 382.9 2004 "(152,476]" 5.94777385848325 "(212,695]"
"Armenia" "Armenia" "Europe" 61 1095 "(51.8,63.4]" "Eurp" "Europe" 63 2004 "(31.1,152]" 4.14313472639153 "(24.2,81.2]"
"Australia" "Australia" "Australia" 72.6 1907 "(63.4,75]" "Astr" "Australia" 3123.3 2004 "(476,6.1e+03]" 8.04664541414882 "(695,6.1e+03]"
"Austria" "Austria" "Europe" 71.4 2073 "(63.4,75]" "Eurp" "Europe" 3683.31 2004 "(476,6.1e+03]" 8.2115670834161 "(695,6.1e+03]"
"Azerbaijan" "Azerbaijan" "Europe" 57.2 1150 "(51.8,63.4]" "Eurp" "Europe" 37.2 2004 "(31.1,152]" 3.6163087612791 "(24.2,81.2]"
"Bahamas" "Bahamas" "North America" 63.3 613 "(51.8,63.4]" "NrtA" "N.America" 1211 2004 "(476,6.1e+03]" 7.09920174355309 "(695,6.1e+03]"
"Bahrain" "Bahrain" "Asia" 64.3 2179 "(63.4,75]" "Asia" "Asia" 619.8 2004 "(476,6.1e+03]" 6.42939684535365 "(212,695]"
"Bangladesh" "Bangladesh" "Asia" 54.3 245 "(51.8,63.4]" "Asia" "Asia" 13.7 2004 "[0.3,31.1]" 2.61739583283408 "[0.3,24.2]"
"Barbados" "Barbados" "North America" 65.6 542 "(63.4,75]" "NrtA" "N.America" 744.8 2004 "(476,6.1e+03]" 6.61311572596286 "(695,6.1e+03]"
